uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
98a140a177ef11eeb1fa28c2dd2980ba,11,11-1,11-1-1,Ganyu,Mona,Venti,Diona,2023-10-16 05:14:46+00:00
98a140a177ef11eeb1fa28c2dd2980ba,11,11-1,11-1-2,Tartaglia,Xiangling,Kaedehara Kazuha,Bennett,2023-10-16 05:15:19+00:00
98a140a177ef11eeb1fa28c2dd2980ba,11,11-2,11-2-1,Ganyu,Mona,Venti,Diona,2023-10-16 05:16:04+00:00
98a140a177ef11eeb1fa28c2dd2980ba,11,11-2,11-2-2,Tartaglia,Xiangling,Kaedehara Kazuha,Bennett,2023-10-16 05:17:16+00:00
98a140a177ef11eeb1fa28c2dd2980ba,11,11-3,11-3-1,Ganyu,Mona,Venti,Diona,2023-10-16 05:18:10+00:00
98a140a177ef11eeb1fa28c2dd2980ba,11,11-3,11-3-2,Tartaglia,Xiangling,Kaedehara Kazuha,Bennett,2023-10-16 05:19:23+00:00
98a140a177ef11eeb1fa28c2dd2980ba,12,12-1,12-1-1,Yoimiya,Yun Jin,Yelan,Thoma,2023-10-24 13:56:35+00:00
98a140a177ef11eeb1fa28c2dd2980ba,12,12-1,12-1-2,Alhaitham,Yae Miko,Nahida,Kuki Shinobu,2023-10-24 13:57:43+00:00
98a140a177ef11eeb1fa28c2dd2980ba,12,12-2,12-2-1,Yoimiya,Yun Jin,Yelan,Thoma,2023-10-24 14:02:55+00:00
98a140a177ef11eeb1fa28c2dd2980ba,12,12-2,12-2-2,Alhaitham,Yae Miko,Nahida,Kuki Shinobu,2023-10-24 14:04:14+00:00
98a140a177ef11eeb1fa28c2dd2980ba,12,12-3,12-3-1,Yoimiya,Yun Jin,Yelan,Thoma,2023-10-24 14:06:34+00:00
98a140a177ef11eeb1fa28c2dd2980ba,12,12-3,12-3-2,Alhaitham,Yae Miko,Nahida,Kuki Shinobu,2023-10-24 14:07:53+00:00
98a167a677ef11ee818628c2dd2980ba,11,11-1,11-1-1,Noelle,Albedo,Kaedehara Kazuha,Xingqiu,2023-10-17 14:30:07+00:00
98a167a677ef11ee818628c2dd2980ba,11,11-1,11-1-2,Traveler,Nahida,Nilou,Yelan,2023-10-17 14:30:54+00:00
98a167a677ef11ee818628c2dd2980ba,11,11-2,11-2-1,Noelle,Albedo,Kaedehara Kazuha,Xingqiu,2023-10-17 14:31:31+00:00
98a167a677ef11ee818628c2dd2980ba,11,11-2,11-2-2,Traveler,Nahida,Nilou,Yelan,2023-10-17 14:32:32+00:00
98a167a677ef11ee818628c2dd2980ba,11,11-3,11-3-1,Noelle,Albedo,Kaedehara Kazuha,Xingqiu,2023-10-17 14:35:40+00:00
98a167a677ef11ee818628c2dd2980ba,11,11-3,11-3-2,Traveler,Nahida,Nilou,Yelan,2023-10-17 14:36:54+00:00
98a167a677ef11ee818628c2dd2980ba,12,12-1,12-1-1,Nahida,Raiden Shogun,Xingqiu,Bennett,2023-10-17 14:50:02+00:00
98a167a677ef11ee818628c2dd2980ba,12,12-1,12-1-2,Traveler,Yaoyao,Nilou,Barbara,2023-10-17 14:51:09+00:00
98a167a677ef11ee818628c2dd2980ba,12,12-2,12-2-1,Zhongli,Nahida,Kuki Shinobu,Yelan,2023-10-17 14:43:14+00:00
98a167a677ef11ee818628c2dd2980ba,12,12-2,12-2-2,Noelle,Traveler,Raiden Shogun,Xingqiu,2023-10-17 14:44:22+00:00
98a167a677ef11ee818628c2dd2980ba,12,12-3,12-3-1,Zhongli,Nahida,Kuki Shinobu,Yelan,2023-10-17 14:45:53+00:00
98a167a677ef11ee818628c2dd2980ba,12,12-3,12-3-2,Noelle,Traveler,Raiden Shogun,Xingqiu,2023-10-17 14:47:10+00:00
98a167a777ef11eeb99d28c2dd2980ba,11,11-1,11-1-1,Nilou,Yelan,Sangonomiya Kokomi,Nahida,2023-10-17 20:26:56+00:00
98a167a777ef11eeb99d28c2dd2980ba,11,11-1,11-1-2,Diona,Raiden Shogun,Sucrose,Xiangling,2023-10-17 20:27:31+00:00
98a167a777ef11eeb99d28c2dd2980ba,11,11-2,11-2-1,Nilou,Yelan,Sangonomiya Kokomi,Nahida,2023-10-17 20:28:23+00:00
98a167a777ef11eeb99d28c2dd2980ba,11,11-2,11-2-2,Diona,Raiden Shogun,Sucrose,Xiangling,2023-10-17 20:29:19+00:00
98a167a777ef11eeb99d28c2dd2980ba,11,11-3,11-3-1,Nilou,Yelan,Sangonomiya Kokomi,Nahida,2023-10-17 20:30:34+00:00
98a167a777ef11eeb99d28c2dd2980ba,11,11-3,11-3-2,Diona,Raiden Shogun,Sucrose,Xiangling,2023-10-17 20:31:37+00:00
98a167a777ef11eeb99d28c2dd2980ba,12,12-1,12-1-1,Nahida,Xiangling,Yanfei,Sucrose,2023-10-17 21:17:00+00:00
98a167a777ef11eeb99d28c2dd2980ba,12,12-1,12-1-2,Raiden Shogun,Yelan,Sangonomiya Kokomi,Yaoyao,2023-10-17 21:18:36+00:00
98a167a777ef11eeb99d28c2dd2980ba,12,12-2,12-2-1,Raiden Shogun,Xiangling,Fischl,Yaoyao,2023-10-17 22:23:49+00:00
98a167a777ef11eeb99d28c2dd2980ba,12,12-2,12-2-2,Nilou,Yelan,Sangonomiya Kokomi,Nahida,2023-10-17 22:25:19+00:00
98a167a777ef11eeb99d28c2dd2980ba,12,12-3,12-3-1,Raiden Shogun,Xiangling,Fischl,Yaoyao,2023-10-17 22:30:08+00:00
98a167a777ef11eeb99d28c2dd2980ba,12,12-3,12-3-2,Nilou,Yelan,Sangonomiya Kokomi,Nahida,2023-10-17 22:32:15+00:00
