uid,floor,chamber,half,ch1,ch2,ch3,ch4,start_at
1ea0a588d62d11eebc9728c2dd2980ba,11,11-2,11-2-2,Kaedehara Kazuha,Bennett,Chongyun,Venti,2024-02-17 21:40:10+00:00
1ea0a588d62d11eebc9728c2dd2980ba,11,11-3,11-3-1,Xiao,Faruzan,Furina,Xianyun,2024-02-17 21:40:47+00:00
1ea0a588d62d11eebc9728c2dd2980ba,11,11-3,11-3-2,Kaedehara Kazuha,Bennett,Chongyun,Venti,2024-02-17 21:41:17+00:00
1ea0a588d62d11eebc9728c2dd2980ba,12,12-1,12-1-1,Wanderer,Xingqiu,Faruzan,Diona,2024-02-17 21:47:51+00:00
1ea0a588d62d11eebc9728c2dd2980ba,12,12-1,12-1-2,Lyney,Bennett,Furina,Zhongli,2024-02-17 21:48:43+00:00
1ea0a588d62d11eebc9728c2dd2980ba,12,12-2,12-2-1,Wanderer,Xingqiu,Faruzan,Diona,2024-02-17 21:50:19+00:00
1ea0a588d62d11eebc9728c2dd2980ba,12,12-2,12-2-2,Lyney,Bennett,Furina,Zhongli,2024-02-17 21:51:13+00:00
1ea0a588d62d11eebc9728c2dd2980ba,12,12-3,12-3-1,Wanderer,Xingqiu,Faruzan,Diona,2024-02-17 21:56:48+00:00
1ea0a588d62d11eebc9728c2dd2980ba,12,12-3,12-3-2,Lyney,Bennett,Furina,Zhongli,2024-02-17 21:57:55+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,11,11-1,11-1-1,Xianyun,Zhongli,Furina,Bennett,2024-02-16 19:10:55+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,11,11-1,11-1-2,Kaedehara Kazuha,Nahida,Fischl,Kuki Shinobu,2024-02-16 19:11:54+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,11,11-2,11-2-1,Xianyun,Zhongli,Furina,Bennett,2024-02-16 19:12:22+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,11,11-2,11-2-2,Kaedehara Kazuha,Nahida,Fischl,Kuki Shinobu,2024-02-16 19:13:24+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,11,11-3,11-3-1,Xianyun,Zhongli,Furina,Bennett,2024-02-16 19:14:07+00:00
1ea0a589d62d11eebe7e28c2dd2980ba,11,11-3,11-3-2,Kaedehara Kazuha,Nahida,Fischl,Kuki Shinobu,2024-02-16 19:14:41+00:00
